Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_2215_DIA20_10ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_1.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_2215_DIA10_10ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk2.raw
Q96SB4	Q96SB4		SRPK1		113977					131169				61599.4		75769.1	78528.2	98652.2	136529	171814				136580		158433		73507.3	111320			
Q96SI9	Q96SI9		STRBP		80325.8	55854.6	97176.1	58062.9	53839.9	63191.1	71990	43841.2	67844.4	81382.4	60311.9	99189.6	72504		92139		90535.5	66911.8	56289.1	112854	56996.6	75229.8	111119	80346.8	111915	106725		
Q96SK2	Q96SK2		TMEM209		25194.3					13406.7										271257												
Q96ST2	Q96ST2		IWS1		23441.6					22818.2																						
Q96SU4	Q96SU4		OSBPL9		59151.7		37066.5			52478.3	38681.1	28093.9						61684.3				44809.3			61607.5							
Q96SY0	Q96SY0		INTS14		12260					20389.1				38189.5		34999.2			16787.1								74366.5	22095.5		79419.7		
Q96SZ5	Q96SZ5		ADO		19389.4	35805.8	10196.9			22107.4					17625.1																	
Q96T37	Q96T37		RBM15		52997.8	248599	263144	250131	277184	34005.9	238382	208293	246327	247210	229988	130577	124577	129837	299444	293710	203960	300589	307000	309176	274795	303909	114779	140323	90315.3	151013		
Q96T51	Q96T51		RUFY1		670474	470410	370258	379738	316938	483618	371686	378471	578762	479221		612412	432066	498940	454893	377670	458079	436871	370530	443030	421661	451670	304917	275672	419571	391142		
Q96T60	Q96T60		PNKP		19488.2					14133.1									157275	202525	171728							175110				
Q96T76	Q96T76		MMS19		147973					108816		717697		596906	774422	540137	501985	582450	760703	708859	664050	648726			656604		514365			482108		
Q96T88	Q96T88		UHRF1		30288.4		81983.7			26380.2									60170.6	63537.9								61839.1				
Q96TA1	Q96TA1		NIBAN2		4.80788e+06	7.77238e+06	7.39268e+06	7.85344e+06	8.66633e+06	4.34288e+06	7.69796e+06	7.98842e+06	8.19483e+06	7.37987e+06	7.87559e+06	7.47403e+06	7.97867e+06	8.43616e+06	6.74727e+06	6.7449e+06	6.77712e+06	6.74185e+06	6.7595e+06	6.08826e+06	6.52236e+06	6.58957e+06	6.60718e+06	7.3131e+06	7.74805e+06	7.21104e+06		
Q96TC7	Q96TC7		RMDN3		90026.2		93308.3	65783.1		81443.1		155206		78736.4		63318.3			147611	73296.6	137918	109179	104329	92326.3	75834.3	104178	141041	216733	130728	156050		
Q99417	Q99417		MYCBP		124313		218246			91455.2			226785	203667		179852	153623	181814		260068				254189		289703	145588	166532	171116	177300		
Q99426	Q99426		TBCB		88896.3		145558			79874.9	231316		179758	41930.6		47801.3		44095.2	29082.8	29601	25486.9	29914.4	44025.1	28257.7	30390.7	34828.7	148320	159164	139626	137182		
Q99436	Q99436		PSMB7		533104	748484	740372	760446	731473	500716	636125	641875	723185	702227	779059	755350	719731	755360	668834	641342	682648	674174	667626	684953	674851	655003	726545	737699	752097	684471		
Q99439	Q99439		CNN2		191024	260513	262360	235543	272266	192677	208631	237286	232702	177124	223741	214022	205856	194810	188450	205725	227279	221634	188361	172869	234704	232139	234089	224638	166712	187872		
Q99459	Q99459		CDC5L		526446	893109	902836	720242	815497	378457	837462	981330	837011	790268	758655	823156	699981	721399	755515	782015	827269	747082	736098	831527	824884	781544	707633	769383	791774	773954		
Q99460	Q99460		PSMD1		283649	318675	260477	308008	320504	264892	276308	304800	304821	297623	257160	311636	279226	301781	270289	268731	269475	268966	269169	259637	270642	280894	274078	288399	307074	272409		
Q99471	Q99471		PFDN5		1.39791e+06	2.85449e+06	2.47645e+06	2.80432e+06	2.93185e+06	1.1292e+06	2.89307e+06	2.13567e+06	3.08114e+06	2.33037e+06	2.63969e+06	2.52728e+06	2.30681e+06	2.29409e+06	2.53384e+06	2.60484e+06	2.68519e+06	2.7752e+06	2.42308e+06	2.64305e+06	2.60464e+06	2.60856e+06	2.41907e+06	2.35973e+06	2.39979e+06	2.02217e+06		
Q99490	Q99490		AGAP2			1.64605e+06	2.28139e+06	1.83334e+06	1.68213e+06	973842			1.76562e+06	1.34133e+06	1.70953e+06	1.18651e+06	1.20933e+06	1.18488e+06		1.41889e+06		1.40218e+06		1.44364e+06			1.1606e+06	1.12477e+06		1.15768e+06		
Q99497	Q99497		PARK7		2.8956e+06	2.70259e+06	2.72935e+06	2.57862e+06	2.62071e+06	3.03162e+06	2.70839e+06	2.83437e+06	2.75376e+06	2.8797e+06	2.65222e+06	3.01903e+06	3.0004e+06	2.82241e+06	2.88443e+06	2.97286e+06	2.90397e+06	2.84662e+06	2.85941e+06	2.97667e+06	2.73935e+06	2.56116e+06	3.2886e+06	3.20249e+06	3.17216e+06	3.26327e+06		
Q99536	Q99536		VAT1		355711	383709	378835	395469	429835	445329	354142	405345	376913	378571	389480	416925	404342	440361	416152	429045	432628	437460	447569	367534	477846	444377	444595	497489	527335	495460		
Q99543	Q99543		DNAJC2		36754.2					31155.2				117900		101526			168031			176985				146594						
Q99567	Q99567		NUP88		89734.1	60179.5	53058.2	62398.3	51321.8	85936.8	57035.3	67741.7	65342.5	67345.5	74648.2	76327.9	70711.7	72218.8	89457.7	64559.3	82005.9	78909.3	90804.9	87847.6	69376.1	91320.2	81461.2	50653.4	76233.7	64267.4		
Q99575	Q99575		POP1		40172.2				153264	37573.6		106992		138633		155329	129080	143291	99869.6	106461	92535.6		76996.1	72713.5	84727.3	81038.3		81602.4		127985		
Q99584	Q99584		S100A13		636685	660662	621745	623516	650889	559799	605395	683529	657998	735807	649726	726992	737968	723415	811096	798896	740022	774895	777391	824562	757909	757787	674747	683352	701353	690531		
Q99590	Q99590		SCAF11		37855.6					29268.4				54178.6				58923.3	53039.4			49250.4	59764.9		17098.7			51590.2				
Q99598	Q99598		TSNAX		262068	1.97687e+06		1.9323e+06		200628	1.70459e+06	1.66082e+06		1.5409e+06		1.56307e+06				1.7446e+06	1.64557e+06	1.68051e+06		1.67118e+06		1.8589e+06			1.55917e+06	1.56664e+06		
Q99614	Q99614		TTC1		154673					130071	1.83762e+06			186492		218563	254251	227093	216280	177682	187646	183282	217807	178868	167477	182775	184558	204254	177063	185187		
Q99615	Q99615		DNAJC7		1.24456e+06	3.02155e+06	3.36466e+06	3.24232e+06	2.53134e+06	1.61182e+06	3.84729e+06	2.79471e+06	3.177e+06	2.52848e+06	2.55521e+06	2.56864e+06	2.33637e+06	2.44664e+06	2.54561e+06	2.69345e+06	2.67642e+06	2.67562e+06	2.8042e+06	2.73245e+06	2.75464e+06	2.44896e+06	2.50731e+06	2.31324e+06	2.23844e+06	2.3609e+06		
Q99622	Q99622		C12orf57		47083.5					23607.9																158819						
Q99623	Q99623		PHB2		707543	703372	709664	693084	684786	679755	686884	729014	685970	746281	737738	722645	739983	752251	734994	667451	698491	684451	693287	692374	707832	693161	705384	737638	719699	701069		
Q99627	Q99627		COPS8		40186.4					48851.2																						
Q99643	Q99643		SDHC		46578.6					67506																						
Q99653	Q99653		CHP1		15944.5				55429.9	27812		56030.8	101874				57256.6	61049.8	69895.4		47091.7	49079.1			54808.4	39486.1	49018.5	25708				
Q99661	Q99661		KIF2C		86347.5		122243	118280		73645.2	126718	86774		104486		116949	93924.1	84348.6	104453	121166	122325	77933.3						102479	117738			
Q99714	Q99714		HSD17B10		666216	821927	785063	831718	818975	579931	785381	807135	794070	869153	807584	945450	838278	907206	834244	908655	868994	873596	816151	823483	895105	877459	812382	857593	873952	786322		
Q99720	Q99720		SIGMAR1		110645					105148	694075	672573		434297	680059	371129	400203	420772	327718	330072		321415			292072	329201	316169		388545	341856		
Q99729	Q99729		HNRNPAB		293225					267257																						
Q99733	Q99733		NAP1L4		733055	710658	707306	712633	675359	553039	771815	691810	667773	695510	736694	720357	718582	712843	594771	610653	614668	633090	644627	593990	542681	554610	768845	802798	734437	772662		
Q99735	Q99735		MGST2		157418	119266	103892	116168		185663	129886	116149	130571	151840	118643	102635	140803	111714	185767	127443	168755	151680	146864	179196	172788	173088	168297	141919	112451			
Q99757	Q99757		TXN2		21913.9					22726.9				13104.5		27047.2		29123.8									31542	8476.13				
Q99798	Q99798		ACO2		166601	297390	276498	264184	239958	169282	243590	212433	262119	209967	261575	230835	207989	220356	178154	183446	196981	168425	194644	188359	167974	182795	330837	367649	354835	325775		
Q99805	Q99805		TM9SF2		72294					72837.7																						
Q99816	Q99816		TSG101		63167.5					54676.8		211096				92376.8	89338.5	134440			89186.8				111433		51743.3	75810.3				
Q99829	Q99829		CPNE1		1.07896e+06	1.16286e+06	1.21484e+06	1.20476e+06	1.20416e+06	1.13959e+06	1.14599e+06	1.11702e+06	1.06356e+06	1.19977e+06	1.15081e+06	1.12912e+06	1.18063e+06	1.12695e+06	1.16538e+06	1.194e+06	1.12655e+06	1.1043e+06	1.17442e+06	1.17918e+06	1.10474e+06	1.18439e+06	1.1395e+06	1.20226e+06	1.14476e+06	1.19078e+06		
Q99832	Q99832		CCT7		2.46969e+06	2.10448e+06	1.87683e+06	2.0529e+06	2.01446e+06	2.48655e+06	1.82896e+06	1.95096e+06	1.87571e+06	1.91297e+06	1.99836e+06	1.97699e+06	1.98513e+06	2.07574e+06	1.83656e+06	1.89605e+06	1.76761e+06	1.91398e+06	1.81711e+06	1.65747e+06	1.91697e+06	1.83633e+06	2.0245e+06	2.05281e+06	1.94835e+06	1.97576e+06		
Q99848	Q99848		EBNA1BP2		741129	1.01561e+06	1.04575e+06	970884	895879	688039	982653	999264	1.04011e+06	1.05698e+06	1.05417e+06	1.10592e+06	1.0454e+06	1.02683e+06	1.07469e+06	1.05113e+06	1.08818e+06	1.07801e+06	970047	1.03614e+06	943649	1.06907e+06	955206	999395	956400	1.02329e+06		
Q99873	Q99873		PRMT1		1.27715e+06	3.12521e+06	2.68119e+06	2.96846e+06	3.24477e+06	1.1631e+06	2.89511e+06	2.79612e+06	2.88813e+06	2.54683e+06	2.90502e+06	2.69055e+06	2.73214e+06	2.70465e+06	2.41201e+06	2.74605e+06	2.40806e+06	2.45252e+06	2.68223e+06	2.55909e+06	2.7935e+06	2.71046e+06	3.06077e+06	2.9781e+06	2.9665e+06	3.12385e+06		
Q99933	Q99933		BAG1		93857.3	208705	208059	199755	207466	84659.1	196574	161583	203901	146985	214726	149945	154059	135404	164470	154657	172616	165165	178909	194668	187831	161282	140166	182167	153120	140065		
Q99961	Q99961		SH3GL1		182923	634551	499941	430118	615110	176017	424787	432148	443810	369284	461486	374067	332477	366749	405329	387261	398351	369448	372345	397658	354443	374054	490632	557750	567077	505756		
Q99962	Q99962		SH3GL2		11460.2	80299.7				15025.7																						
Q99986	Q99986		VRK1		67447.7			47046.5	68343.6	65290	86253.3	84091.4	121209	54634.4		65705.4	30886.3	63659.5	39022.2		38275.8	60938.3			44217.1	59583.6	84694.2		64271.8	85838.1		
Q9BPX3	Q9BPX3		NCAPG		46594.2				47733.9	59963.8		69137.9		68280.2						34748.2		45017.4	45393		36435.2		58452.2	32013				
Q9BPX5	Q9BPX5		ARPC5L		436938	598978	565848	680778	610333	289734	600068	525832	652473	664136	563103	660726	671262	676080	619957	659658	632149	599314	680856	668218	673376	747792	523041	461475	475649	516667		
Q9BQ52	Q9BQ52		ELAC2		94520.8					90980.3			167073								53402.8											
Q9BQ61	Q9BQ61		TRIR		338236	403184	328227	341141	373424	313541	389467	451992	342505	658524	361694	474309	467388	458882	474914	417951	468709	454630	448536	423772	434215	501333	525823	629508	581584	619407		
Q9BQ67	Q9BQ67		GRWD1		2.08363e+06	2.33291e+06	2.24341e+06	2.40292e+06	2.03869e+06	1.49656e+06	1.9839e+06	2.16513e+06	1.9515e+06	2.24767e+06	2.53324e+06	2.38199e+06	2.20479e+06	2.51484e+06	2.4591e+06	2.54379e+06	2.4507e+06	2.37763e+06	2.3873e+06	2.85223e+06	2.30234e+06	2.79132e+06	2.10069e+06	1.79466e+06	1.98359e+06	2.05011e+06		
Q9BQ69	Q9BQ69		MACROD1		289877	316330	320034	273165	257198	289411	296288	305001	304015	411288	278115	407138	407355	413411	341650	313097	307922	338085	333113	359113	316462	326689	358724	354861	328947	334569		
Q9BQA1	Q9BQA1		WDR77		231332	216689	188778	191141	214388	255272	220059	223461	213596	231107	211183	260302	242749	231759	259091	234486	232209	271349	293229	240560	274208	252002	271965	279279	271945	250243		
Q9BQB6	Q9BQB6		VKORC1		185439	156150	132378	139210	139801	164831	139304	134250	152098	283377	144268	283472	245082	240869	161889	155418	168061	171132	153459	159390	157233	152961	155979	178310	154079	152114		
Q9BQE3	Q9BQE3		TUBA1C		1.50656e+06	5.26221e+06	5.20681e+06	5.46506e+06	6.37628e+06	1.27608e+06	5.25481e+06	4.58058e+06	4.70231e+06	5.62452e+06	4.17987e+06	5.4375e+06	5.25137e+06	5.16449e+06	5.42357e+06	5.08785e+06	5.88386e+06	5.5402e+06	5.15007e+06	5.54544e+06	5.33835e+06	5.27998e+06	5.23453e+06	5.05855e+06	5.1447e+06	5.24344e+06		
Q9BQG0	Q9BQG0		MYBBP1A		1.16228e+06	1.43227e+06	1.43941e+06	1.33385e+06	1.28462e+06	1.13147e+06	1.56776e+06	1.46264e+06	1.52298e+06	1.23658e+06	1.29958e+06	1.20117e+06	1.22008e+06	1.22354e+06	1.32247e+06	1.33387e+06	1.25848e+06	1.34177e+06	1.33381e+06	1.33269e+06	1.40268e+06	1.28927e+06	1.25657e+06	1.11709e+06	1.22568e+06	1.19967e+06		
Q9BR76	Q9BR76		CORO1B		175463	233698	179496	214037	220270	204268	146797	158613	210674	181675	221159	179144	202014	196003	187392	199682	183925	212895	197414	161849	220756	185995	163222	161420	208533	204836		
Q9BRA2	Q9BRA2		TXNDC17		1.05288e+06	1.00921e+06	909942	855896	931863	1.03039e+06	982386	1.05399e+06	1.01042e+06	822379	1.10671e+06	733058	665239	688458	745504	840989	779851	782365	763181	783734	691565	702643	840823	891085	835171	933193		
Q9BRJ2	Q9BRJ2		MRPL45		46239.6					59075.4						28085.9		318497														
Q9BRJ6	Q9BRJ6		C7orf50		60863.7					58640.5					360502									300134						234980		
Q9BRP8	Q9BRP8		PYM1		108294	328423	310238	288595	308024	134153	236414	249289	300407	285033	311012	287394	281259	302409	274369	291706	275256	283110	283492	273374	276113	284421	319273	323551	311666	325213		
Q9BRQ8	Q9BRQ8		AIFM2		94689					75218.6	296665	79958.7		326283		258640	304685	302892	412044	338143	322825	326569			393349	409729	233476	241287	296295	234275		
Q9BRR6	Q9BRR6		ADPGK		82981.1					85828				22470.3					75923.6	73480.7				86586.4								
Q9BRS2	Q9BRS2		RIOK1		21665.8					21825.1									54810.4				86027.8									
Q9BRT2	Q9BRT2		UQCC2		12833.1					7821.63																						
Q9BRT3	Q9BRT3		MIEN1		242866					190182																						
Q9BRT9	Q9BRT9		GINS4		12488.9					15533.7																						
Q9BRU9	Q9BRU9		UTP23		25317.7					31644																						
Q9BRX2	Q9BRX2		PELO		158231	136219			104993	168980			101552	272718		313333	250079	330328		185982	117784		489729	151869	181716	373336	159091	163241	193766	196677		
Q9BRX5	Q9BRX5		GINS3		33401.3	91467.9	87288	85363	81458.3	30713.5	67847.9	85289.3	93593.3			94252.1		86054.9	73681.5	88297.2	82703.3	57867.1		80274.8	76837.7	78592.5	147449		137778			
Q9BRX8	Q9BRX8		PRXL2A		19113		53384.1			15537.6			61186.1	27247.3			19883.7	20501.9		16206.5		21393.6			28196.2		20742.4	17652.2	17672.6	30154.2		
Q9BS26	Q9BS26		ERP44		190605	247219	273121	235364	240033	198167	243440	242792	265201	246602	230721	251208	238062	240886	213691	222335	250907	208747	228932	235544	217528	232900	238160	232268	235834	262263		
Q9BS40	Q9BS40		LXN		75246.6		91541.7			71340.3						92206.1				109903			115066									
Q9BSD7	Q9BSD7		NTPCR		42710.5			175130	28966.3	58233.9							100251				81656.7				98222.7			69474				
Q9BSE5	Q9BSE5		AGMAT		152078	105391		77103.5	101438	150923							60525.3		87941.5	89301.4	76651.3	100250	102821	97178.2	93566.9			85663.2	83929.5	75166.9		
Q9BSH4	Q9BSH4		TACO1		73431.7					78507.3																						
Q9BSJ2	Q9BSJ2		TUBGCP2		45436					34535.8				64722.2																		
Q9BSJ8	Q9BSJ8		ESYT1		228889	371902	438890	294504	367760	167498	336396	313720	441098	286372	386431	309238	278864	266587	292592	229955	292181	288007	246876	273420	276509	281663	250699	242053	230802	258776		
Q9BT78	Q9BT78		COPS4		145014	141182	139197	138395	143390	129848	133191	86946.9	113362	215340	132399	143478	145395	152905	162566	161595	154770	175351	146246	145772	166057	157238	235174	191520	221338	264288		
Q9BTC0	Q9BTC0		DIDO1		116721					79040.3				148547	142846	169513	153726	176704			265251	317204					119979		178531			
Q9BTE1	Q9BTE1		DCTN5		9187.95					9321.94																						
Q9BTE3	Q9BTE3		MCMBP		56725.8					48303.5	71724.6	61105.8	78469.1			75488.5		70562.6			90155.4	62712.1	55078.8		47898.2	42059.5	42151.9	123280	71845.1	98550.3		
Q9BTE6	Q9BTE6		AARSD1		43237.8					45501.2				99840.6		100085	88636.6	96591.9		100825	120258	89521	93808.6	98110.3	101041	103908	123877	120195	95219.5	131019		
Q9BTM9	Q9BTM9		URM1		41004.1					30798.1																						
Q9BTT0	Q9BTT0		ANP32E		241317	366216	327303	356846	304469	248780	328482	390058	320168	353626	349349	323590	338432	296749	340515	337684	332652	314438	309147	295598	287480	298006	321661	313264	284159	319791		
Q9BTV4	Q9BTV4		TMEM43		316751	366313	313421	307029	327146	328148	350259	296810	298021	252420	313941	229022	227596	263719	290401	327344	259087	303105	311482	312158	353783	372023	331069	294432	288159	302562		
Q9BTW9	Q9BTW9		TBCD		114932		491296		598180	97878.1								450800		509056	423591	451543		453207	386787							
Q9BTX1	Q9BTX1		NDC1		32882.5					29521.9																						
Q9BTY7	Q9BTY7		HGH1		16650.5					15221																						
Q9BTZ2	Q9BTZ2		DHRS4		524642	846799	927208	809161	950732	517937	945279	1.07656e+06	894230	751637	831259	725040	765297	745729	787863	829240	851938	740131	728804	782439	762006	729346	799975	739743	780906	775575		
Q9BU61	Q9BU61		NDUFAF3		165463	165610	148130	109676	195073	162740	148770	115463		129026	138563	114965	133527	150841	89859.5			139196	90666					133254	91213.3	138984		
Q9BU76	Q9BU76		MMTAG2		29872.8					28900.7						11068.2		51888.6		30319					30357.8	44523.2	29471.5		29702			
Q9BUB7	Q9BUB7		TMEM70		49867.2	53979.7	59888.1	58714.5	55609.2	57092.5	80132.5	65604.9	103130	59953.3	35776.6	63121	70277.1	58342.1	83717.4	61990.7	85264.2	65613.4	80406.5	48190.6	67238.6	75693.5		50957.4	40760.2	37795.8		
Q9BUF5	Q9BUF5		TUBB6		89924	90478.2	109659	100344	113078	108697		109623	106629	86354.8	112119	106654	116599	111742	94314.8	86054.9	80847.9	88388.2	71322	89072.6	96508.8	76179.3	107278	108768	129341	102927		
Q9BUH6	Q9BUH6		PAXX		75273.6	112143	84462	110337		74606.6	110462	128159	125355	119933	131791	203081	193360	105443	131513	151561	128775	120574	158215	139585	133123	116027	157944	130076	96932.7	165845		
Q9BUJ2	Q9BUJ2		HNRNPUL1		250236	511720	370730	430910	436427	209741	485772	495226	462054	426162	411159	477251	524216	423340	423543	444622	474397	399353	416430	441907	456132	389508	332919	343699	311102	300940		
Q9BUL8	Q9BUL8		PDCD10		200394	276283	256608	273238	245065	201550	254345	267735	283238	268917	284126	285225	274051	264527	249024	256949	252131	235984	243189	236449	221746	231556	238497	232766	244342	254141		
Q9BUL9	Q9BUL9		RPP25		81265	550756			521430	80088			550611	366874		403206		364341			281107			288842	269320	287459	316956	325233				
Q9BUP3	Q9BUP3		HTATIP2		148679	181352	160412	157595	164551	150027	171689	185691	175223	161518	165774	173324	165926	155988	155713	179088	160674	150653	162162	161986	166324	171751	170373	169623	142391	152890		
Q9BUQ8	Q9BUQ8		DDX23		662058	2.31968e+06	2.22269e+06	2.54583e+06	2.33775e+06	650104	2.12179e+06	2.22208e+06	2.3645e+06	1.9038e+06	2.3302e+06	1.91065e+06	1.72368e+06	2.03156e+06	2.02254e+06	2.09862e+06	2.17804e+06	2.21611e+06	2.13857e+06	2.20893e+06	2.21586e+06	2.37541e+06	1.98216e+06	2.0077e+06	2.23695e+06	1.98584e+06		
Q9BUR5	Q9BUR5		APOO		182524	175991	199487	179722	209083	165377	171002	222109	157532	211624	166750	188502	203627	191354	230659	206225	199641	178366	195835	191088	219537	187519	192519	216872	190049	227746		
Q9BUT1	Q9BUT1		BDH2		66390.2			205545		75247.6									147424	138468								209114				
Q9BV20	Q9BV20		MRI1		131883			9757.67	512682	37359							22029.5								48197.2							
Q9BV38	Q9BV38		WDR18		199896	189149	148643	135793	176131	199198	179266	164988	168110	155849	155870	162582	173350	139429	158822	163036	193529	176182	160438	155244	148737	199800	164277	143900	147455	155184		
Q9BV40	Q9BV40		VAMP8		76691.8	158344	212569	150652	162757	94562.5	149941	139351	187804	162311	163786				179566		148945		185045		160790		69298.2	92193.5	78345.7	95976		
Q9BV57	Q9BV57		ADI1		78992					86896.8																						
Q9BV81	Q9BV81		EMC6		53243.3					46456.6																						
Q9BV86	Q9BV86		NTMT1		111429	106290	98534.6	102585	97866.4	86461.3	114347	102531	104316	125278	97691.1	130636	133295	86744.4	114809	115138	109605	97219.9	97131.7	112290	109866	108394	110775	119122	93085.4	131397		
Q9BVC6	Q9BVC6		TMEM109		474505	545916	471673	520403	509406	345815	549942	499798	533267	459258	510064	438612	463022	442754	548111	548697	524282	562738	490486	567049	531085	550100	337458	363201	316442	331868		
Q9BVI4	Q9BVI4		NOC4L		35902.1	61679.1	51453.6	42104.1	59701.4	37842.5	64744.6	62844.2	76527.9	42614	74560.8	45966.8	44029.4	50460.2	29304.6	43543.5	39709.9	37288.9		46257.7	39731.6	31602.6	41658.4	64729.6	25605.2	36771		
Q9BVJ6	Q9BVJ6		UTP14A		259287			887757		162279		647504		853058	803477	833646	853190	864202	566923	569075	598063	603467		588515	571743	510943	843246	868091		921559		
Q9BVK2	Q9BVK2		ALG8		31855.7					30104.5						78343.6	65642.2				222801						64192.5		73874.4			
Q9BVK6	Q9BVK6		TMED9		1.12783e+06	3.12628e+06	2.71602e+06	3.33116e+06	3.04315e+06	1.31533e+06	2.89418e+06	3.27114e+06	3.60564e+06	2.59163e+06	3.4777e+06	2.6e+06	2.46514e+06	2.73023e+06	2.38174e+06	2.29337e+06	2.50884e+06	2.31023e+06	2.40725e+06	2.53219e+06	2.56733e+06	2.5902e+06	2.3455e+06	2.42857e+06	2.56072e+06	3.29357e+06		
Q9BVL2	Q9BVL2		NUP58		26019.9	35594.5			29130.9	38479.9	38876.9	40225.8		40830		25157.9					98766	65222.4	91185.4	84141.6	54310	102847	63970.1	38236.4	31326.2			
Q9BVP2	Q9BVP2		GNL3		409850	668528	623641	626992	651257	413904	618645	645863	624237	608908	615082	577403	582292	582440	586244	616349	631628	598617	619981	655685	611723	647067	588010	575940	578168	581214		
Q9BVT8	Q9BVT8		TMUB1		28095.9					18191.6																		123652				
